R,EXC,S,SEXO,CD1.1A,CD1.1B,CD1.1C,CD1.2A,CD1.2B,CD1.2C,CD1.3A,CD1.3B,CD1.3C,CD1.4A,CD1.4B,CD1.4C,CD1.5A,CD1.5B,CD1.5C,CD1.6A,CD1.6B,CD1.6C,CD1.7A,CD1.7B,CD1.7C,CD1.8A,CD1.8B,CD1.8C,CD1.9A,CD1.9B,CD1.9C,CD1.10A,CD1.10B,CD1.10C,CD4.1A,CD4.1B,CD4.1C,CD4.2A,CD4.2B,CD4.2C,CD4.3A,CD4.3B,CD4.3C,CD4.4A,CD4.4B,CD4.4C,CD4.5A,CD4.5B,CD4.5C,CD4.6A,CD4.6B,CD4.6C,CD4.7A,CD4.7B,CD4.7C,CD4.8A,CD4.8B,CD4.8C,CD4.9A,CD4.9B,CD4.9C,CD4.10A,CD4.10B,CD4.10C,CD8.1A,CD8.1B,CD8.1C,CD8.2A,CD8.2B,CD8.2C,CD8.3A,CD8.3B,CD8.3C,CD8.4A,CD8.4B,CD8.4C,CD8.5A,CD8.5B,CD8.5C,CD8.6A,CD8.6B,CD8.6C,CD8.7A,CD8.7B,CD8.7C,CD8.8A,CD8.8B,CD8.8C,CD8.9A,CD8.9B,CD8.9C,CD8.10A,CD8.10B,CD8.10C,CD12.1A,CD12.1B,CD12.1C,CD12.2A,CD12.2B,CD12.2C,CD12.3A,CD12.3B,CD12.3C,CD12.4A,CD12.4B,CD12.4C,CD12.5A,CD12.5B,CD12.5C,CD12.6A,CD12.6B,CD12.6C,CD12.7A,CD12.7B,CD12.7C,CD12.8A,CD12.8B,CD12.8C,CD12.9A,CD12.9B,CD12.9C,CD12.10A,CD12.10B,CD12.10C,CD18.1A,CD18.1B,CD18.1C,CD18.2A,CD18.2B,CD18.2C,CD18.3A,CD18.3B,CD18.3C,CD18.4A,CD18.4B,CD18.4C,CD18.5A,CD18.5B,CD18.5C,CD18.6A,CD18.6B,CD18.6C,CD18.7A,CD18.7B,CD18.7C,CD18.8A,CD18.8B,CD18.8C,CD18.9A,CD18.9B,CD18.9C,CD18.10A,CD18.10B,CD18.10C,CD24.1A,CD24.1B,CD24.1C,CD24.2A,CD24.2B,CD24.2C,CD24.3A,CD24.3B,CD24.3C,CD24.4A,CD24.4B,CD24.4C,CD24.5A,CD24.5B,CD24.5C,CD24.6A,CD24.6B,CD24.6C,CD24.7A,CD24.7B,CD24.7C,CD24.8A,CD24.8B,CD24.8C,CD24.9A,CD24.9B,CD24.9C,CD24.10A,CD24.10B,CD24.10C,RD1.1A,RD1.1B,RD1.1C,RD1.2A,RD1.2B,RD1.2C,RD4.3A,RD4.3B,RD4.3C,RD8.4A,RD8.4B,RD8.4C,RD8.5A,RD8.5B,RD8.5C,RD12.6A,RD12.6B,RD12.6C,RD12.7A,RD12.7B,RD12.7C,RD18.8A,RD18.8B,RD18.8C,RD18.9A,RD18.9B,RD18.9C,RD24.10A,RD24.10B,RD24.10C
1,126,CTEL,2,,5,,,5,,,5,35,5,19,66,5,19,66,,5,66,,5,66,,5,66,,5,66,,5,66,94,,,,,,,,,,,,66,,,66,,,,66,94,94,,,66,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,66,,5,,,,,,,,,,,,,,,,,,,,,,,,,
1,31,PVM,2,7,14,56,,7,56,,7,56,,7,56,,7,56,7,35,56,,7,56,,7,56,,7,56,7,21,56,,96,63,96,,63,,63,93,,,63,,63,,96,,63,,,63,,96,185,,63,,63,96,185,,,,,,,,185,,,,,185,,,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,VVNI,2,7,12,38,17,7,44,13,7,40,12,7,30,12,7,30,7,12,38,,7,46,7,12,44,7,13,40,7,12,38,61,75,63,61,63,67,61,63,93,30,,63,30,34,,56,,63,56,75,63,57,67,137,40,44,,57,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,122,ARPD,1,9,51,57,9,51,57,,9,57,,9,51,9,64,71,,9,64,,9,51,,9,51,,9,71,,9,71,,114,169,71,114,126,100,,141,64,71,169,64,114,,71,107,141,64,100,148,71,100,155,71,100,,71,87,169,,204,244,196,204,231,126,169,251,148,169,204,148,169,209,155,169,231,155,209,244,209,237,244,169,244,285,,196,270,231,270,429,231,270,,270,340,429,231,278,340,244,251,326,278,285,347,244,307,326,251,320,347,255,326,347,307,320,443,365,390,443,356,365,480,390,443,,416,443,480,390,416,,390,416,,326,390,,356,390,429,365,390,443,,443,526,443,526,602,,443,,480,660,720,443,570,663,443,480,720,526,602,663,534,602,,480,663,720,534,720,820,663,720,820,9,51,78,9,51,114,78,100,155,148,204,244,231,390,429,231,278,356,307,356,365,288,356,365,307,585,717,,585,744
1,135,RLI,1,,10,60,,10,47,,10,60,,10,39,,10,39,,10,39,10,,39,,10,60,,10,47,,10,47,,75,109,60,75,130,66,96,137,60,75,137,60,90,,75,123,130,75,109,137,75,96,130,,75,,60,96,150,185,220,233,230,240,247,150,185,240,150,179,254,145,179,233,,150,247,,150,276,150,179,296,150,230,268,147,185,254,220,309,435,296,315,404,303,315,435,296,336,717,296,350,717,296,309,435,296,350,468,296,336,502,296,309,336,296,336,502,,468,,404,717,,404,717,,468,496,660,572,,660,572,660,,502,572,591,404,,572,468,496,,,660,,660,,,,660,,,,,572,,,,660,,,572,,,572,,572,,,572,,,,,,,10,60,,10,75,,47,96,47,130,145,150,240,296,,220,296,233,268,296,233,247,315,468,660,,502,660,
1,75,HMR,2,,12,,,12,,,12,,,12,,12,,,12,,,,12,,,12,,,12,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,
1,92,PON,2,,12,,,12,,,12,,12,,,12,,,12,,,12,,,12,,,,12,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,LMN,2,,12,122,,12,81,,12,60,,12,60,,12,81,,12,60,,12,60,,12,81,,12,60,,12,60,,,165,,81,165,81,,165,81,122,165,81,122,,81,,165,,81,122,,122,165,81,122,,81,122,177,177,232,273,177,204,234,,177,,179,212,247,165,177,232,165,177,179,165,179,232,165,204,247,165,247,323,,204,280,232,329,599,277,,418,,335,500,280,323,479,232,329,530,252,273,479,252,273,335,323,,418,323,329,479,323,329,479,418,612,655,479,,500,418,537,,500,,530,,530,630,,479,630,418,479,500,,418,500,335,500,537,,530,537,599,655,674,599,630,,537,840,,530,612,674,530,612,840,612,655,750,620,630,,500,612,690,599,612,655,530,620,761,,12,81,,81,165,81,165,212,81,165,212,247,261,273,232,273,418,232,418,,,418,507,329,500,655,,479,655
1,108,LOJ,2,12,20,42,,12,74,,12,56,12,20,49,20,27,49,,12,27,12,20,49,12,20,49,12,20,74,12,20,49,,101,129,56,89,144,,89,129,74,89,129,56,89,,74,108,129,89,,101,89,108,129,89,108,,56,101,179,163,219,,,219,251,,163,,163,179,219,129,163,,163,,219,,179,163,163,179,,179,,,,163,251,,219,,,,,219,,,,219,,323,,,323,,,,323,,,,,,,,,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,56,,12,40,74,108,144,40,144,,219,251,,219,,,,,,,,,,,,,,
1,118,ROLR,2,,12,54,,12,47,,12,54,,12,54,,12,54,12,40,54,,12,40,,12,47,,12,54,,12,54,54,88,156,80,88,143,110,143,149,54,143,149,54,80,,54,88,143,54,88,143,80,88,149,54,80,,60,88,156,,191,274,,191,227,149,156,207,,163,213,149,156,227,149,156,163,149,170,178,149,178,302,156,178,298,163,199,261,240,302,377,240,254,308,233,240,270,233,240,274,199,261,343,213,281,390,288,308,369,261,308,377,248,274,281,274,302,369,330,390,439,330,369,390,377,390,,315,390,509,390,509,566,390,467,509,390,,509,349,,509,315,439,467,,425,467,,585,646,,585,,598,646,675,566,,646,566,646,744,,586,717,,585,,566,585,646,467,598,717,585,646,675,,12,54,,12,54,,88,143,88,156,163,,213,248,213,248,254,261,308,369,288,439,377,248,274,717,,585,717
